DIAG SET 5: CN ANNUAL MEANS OVER LAND - DIFFERENCE (case1 - case2)
 
TEST CASE (case1):      IHistClm50BgcSulman  (yrs 2000-2010)
 
REFERENCE CASE (case2): IHistClm50Bgc  (yrs 2000-2010)
RETRANSN(TgN) plant pool of retranslocated N                              -0.115
COL_CTRUNC(PgC) column-level sink for C truncation                      -999.000
PFT_CTRUNC(PgC) pft-level sink for C truncation                         -999.000
COL_NTRUNC(TgN) column-level sink for N truncation                      -999.000
PFT_NTRUNC(TgN) pft-level sink for N truncation                         -999.000
COL_FIRE_CLOSS(PgC/y) total column-level fire C loss                      -0.028
PFT_FIRE_CLOSS(PgC/y) total pft-level fire C loss                         -0.021
COL_FIRE_NLOSS(TgN/y) total column-level fire N loss                      -0.612
PFT_FIRE_NLOSS(TgN/y) total pft-level fire N loss                         -0.437
FAREA_BURNED(proportion/y) fractional area burned                         -0.000
BAF_CROP(proportion/y) fractional area burned - crop                      -0.000
CWDC_HR(PgC/y) Coarse Woody Debris C Hetereotrophic respiration         -999.000
CWDC_LOSS(PgC/y) Coarse Woody Debris C Loss                                0.020
FROOTC_ALLOC(PgC/m2y) Fine root C allocation                              -0.311
FROOTC_LOSS(PgC/m2y) Fine root C Loss                                     -0.311
LEAFC_ALLOC(PgC/m2y) Leaf C Allocation                                    -0.210
LEAFC_LOSS(PgC/m2y) Leaf C Loss                                           -0.210
LITTERC(PgC) Total Litter C                                             -999.000
LITTERC_HR(PgC/m2y) Litter Hetereotrophic Respiration                     -0.256
LITTERC_LOSS(PgC/m2y) Litter C Loss                                       -0.505
SOILC(PgC) soil organic matter C (fast pool)                            -999.000
SOILC_HR(PgC/y) Soil C hetereotrophic respiration                         -0.245
SOILC_LOSS(PgC/y) Soil C Loss                                           -999.000
WOODC(PgC) Wood C                                                          1.113
WOODC_ALLOC(PgC/y) Wood C Allocation                                       0.040
WOODC_LOSS(PgC/y) Wood C Loss                                              0.028
NEE(PgC/y) net ecosys exchange of C;incl fire flx;pos for source          -0.021
NEP(PgC/y) net ecosystem production;excl fire flx;pos for sink            -0.007
NBP(PgC/y) net biome production, includes fire, landuse and harvest flux   0.012
GPP(PgC/y) gross primary production                                       -0.788
CUE(NPP/GPP) carbon use efficiency                                        -0.000
PSNSUN_TO_CPOOL(PgC/y) GPP from Sunlit Canopy                             -0.441
PSNSHADE_TO_CPOOL(PgC/y) GPP from Shaded Canopy                           -0.347
NPP(PgC/y) net primary production                                         -0.508
AGNPP(PgC/y) above ground net primary production                          -0.180
BGNPP(PgC/y) below ground net primary production                          -0.302
MR(PgC/y) maintenance respiration                                         -0.368
GR(PgC/y) total growth respiration                                        -0.056
AR(PgC/y) autotrophic respiration (MR + GR)                               -0.281
LITHR(PgC/y) litter hetereotrophic respiration                          -999.000
SOMHR(PgC/y) SOM hetereotrophic respiration                             -999.000
HR(PgC/y) total hetereotrophic respiration                                -0.501
RR(PgC/y) root respiration (fine root MR + total root GR)                 -0.128
SR(PgC/y) total soil respiration (HR + root resp)                         -0.629
ER(PgC/y) total ecosystem respiration (AR + HR)                           -0.782
FINUNDATED(unitless) Fractional inundated of veg col                       0.000
FCH4(PgC/y) Gridcell surface CH4 flux                                     -0.003
FCH4TOCO2(PgC/y) Gridcell oxidation of CH4 to CO2                         -0.004
FCH4_DFSAT(PgC/y) CH4 additional flux                                      0.000
CH4PROD(PgC/y) Gridcell total CH4 production                              -0.007
CH4_SURF_AERE_SAT(Tmol/y) aerenchyma sfc CH4 flx-inundated area           -3.153
CH4_SURF_AERE_UNSAT(Tmol/y) aerenchyma sfc CH4 flx-non-inundated area     -0.012
CH4_SURF_DIFF_SAT(Tmol/y) diffusive sfc CH4 flx-inundated/lake area       -0.005
CH4_SURF_DIFF_UNSAT(Tmol/y) diffusive sfc CH4 flx-non-inundated area       0.004
CH4_SURF_EBUL_SAT(Tmol/y) ebullition sfc CH4 flx-inundated/lake area      -0.000
CH4_SURF_EBUL_UNSAT(Tmol/y) ebullition sfc CH4 flx-non-inundated area      0.002
LEAFC(PgC) leaf carbon                                                    -0.074
XSMRPOOL(PgC) Temporary Photosynthate C Pool                               0.035
SOIL3C(PgC) Soil organic matter C (slow pool)                              3.579
SOIL4C(PgC) Soil organic matter C (slowest pool)                        -999.000
FROOTC(PgC) fine root carbon                                              -0.108
LIVESTEMC(PgC) live stem C                                                 0.004
DEADSTEMC(PgC) dead stem carbon                                            0.854
LIVECROOTC(PgC) live coarse root carbon                                    0.001
DEADCROOTC(PgC) dead coarse root carbon                                    0.253
CPOOL(PgC) temporary photosynthate C pool                                  0.000
TOTVEGC(PgC) total vegetation C, excluding cpool                           0.592
CWDC(PgC) coarse woody debris carbon                                       0.673
TOTLITC(PgC) total litter carbon                                          -0.318
TOTLITC_1m(PgC) total litter carbon to 1m depth                           -0.319
TOTSOMC(PgC) total SOM carbon                                              3.505
TOTSOMC_1m(PgC) total SOM carbon to 1 meter depth                         -2.887
TOTLITN(TgN) total litter N                                               -8.461
TOTLITN_1m(TgN) total litter N to 1m depth                                -8.469
TOTSOMN(TgN) total soil organic matter N                                 316.906
TOTSOMN_1m(TgN) total soil organic matter N to 1m depth                 -264.273
TOTECOSYSC(PgC) total ecosystem C, incl veg but excl cpool                 4.450
TOTCOLC(PgC) total ecosystem C, incl veg and cpool                         4.484
FPG(proportion) fraction of potential GPP                               -999.000
FPI(proportion) fraction of potential immobilization                       0.003
NDEP_TO_SMINN(TgN/y) nitrogen deposition                                   0.000
FERT(TgN/y) fertilizer added                                            -999.000
FERT_TO_SMINN(TgN/y) fertilizer to soil mineral N                       -999.000
NFERTILIZATION(TgN/y) fertilizer added                                  -999.000
POTENTIAL_IMMOB(TgN/y) Potential Immobilization                          -23.205
ACTUAL_IMMOB(TgN/y) Actual Immobilization                                -13.079
GROSS_NMIN(TgN/y) Gross N Mineralization                                 -28.450
NET_NMIN(TgN/y) Net N Mineralization                                     -15.379
NDEPLOY(TgN/y) Total N Deployed in New Growth                            -16.537
RETRANSN_TO_NPOOL(TgN/y) Retranslocated N to NPool                         0.343
SMINN_TO_NPOOL(TgN/y) Mineral N to NPool                                 -15.882
DENIT(TgN/y) Total Denitrification                                         2.451
SOIL3N(TgN) soil organic matter N (slow pool)                            325.438
SOIL4N(TgN) Soil organic matter N (slowest pool)                        -999.000
NFIX_TO_SMINN(TgN/y) nitrogen fixation                                  -999.000
NAM(TgN/y) AM-associated N uptake flux                                     3.230
NECM(TgN/y) ECM-associated N uptake flux                                  -6.743
NFIX(TgN/y) Symbiotic BNF uptake flux                                      2.146
NRETRANS(TgN/y) Retranslocated N uptake flux                              -0.655
NPP_NUPTAKE(PgC/y) total carbon used by N uptake in FUN                    0.143
NUPTAKE_FRACTION(NA) NPP_NUPTAKE/(NPP_NUPTAKE+NPP)                         0.001
FFIX_TO_SMINN(TgN/y) free living N fixation to soil mineral N             -0.086
NPP_NFIX(PgC/y) Symbiotic BNF uptake used C                                0.022
NPP_NACTIVE(PgC/y) Mycorrhizal N uptake used C                             0.841
NPP_NRETRANS(PgC/y) retranslocated N uptake flux                           0.002
SUPPLEMENT_TO_SMINN(TgN/y) supplement to mineral nitrogen                  0.000
SMINN_LEACHED(TgN/y) Nitrogen Leached                                   -999.000
SMIN_NO3_LEACHED(TgN/y) Soil NO3 pool loss to leaching                     0.030
SMIN_NO3_RUNOFF(TgN/y) Soil NO3 pool loss to runoff                        0.116
SMINN(TgN) soil mineral N                                                -73.781
RETRANSN(TgN) plant pool of retranslocated N                              -0.115
COL_CTRUNC(PgC) column-level sink for C truncation                      -999.000
PFT_CTRUNC(PgC) pft-level sink for C truncation                         -999.000
COL_NTRUNC(TgN) column-level sink for N truncation                      -999.000
PFT_NTRUNC(TgN) pft-level sink for N truncation                         -999.000
COL_FIRE_CLOSS(PgC/y) total column-level fire C loss                      -0.028
PFT_FIRE_CLOSS(PgC/y) total pft-level fire C loss                         -0.021
COL_FIRE_NLOSS(TgN/y) total column-level fire N loss                      -0.612
PFT_FIRE_NLOSS(TgN/y) total pft-level fire N loss                         -0.437
FAREA_BURNED(proportion/y) fractional area burned                         -0.000
BAF_CROP(proportion/y) fractional area burned - crop                      -0.000
CWDC_HR(PgC/y) Coarse Woody Debris C Hetereotrophic respiration         -999.000
CWDC_LOSS(PgC/y) Coarse Woody Debris C Loss                                0.020
FROOTC_ALLOC(PgC/m2y) Fine root C allocation                              -0.311
FROOTC_LOSS(PgC/m2y) Fine root C Loss                                     -0.311
LEAFC_ALLOC(PgC/m2y) Leaf C Allocation                                    -0.210
LEAFC_LOSS(PgC/m2y) Leaf C Loss                                           -0.210
LITTERC(PgC) Total Litter C                                             -999.000
LITTERC_HR(PgC/m2y) Litter Hetereotrophic Respiration                     -0.256
LITTERC_LOSS(PgC/m2y) Litter C Loss                                       -0.505
SOILC(PgC) soil organic matter C (fast pool)                            -999.000
SOILC_HR(PgC/y) Soil C hetereotrophic respiration                         -0.245
SOILC_LOSS(PgC/y) Soil C Loss                                           -999.000
WOODC(PgC) Wood C                                                          1.113
WOODC_ALLOC(PgC/y) Wood C Allocation                                       0.040
WOODC_LOSS(PgC/y) Wood C Loss                                              0.028
